TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/09/13
TIME	10:28:53
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  300.0000
NPOINTS	    1201
FIRSTY	    21.31707
MAXY	    28.99502
MINY	    -0.61761
XYDATA
1161.0000	25.5508
1160.0000	25.4759
1159.0000	25.3545
1158.0000	25.4152
1157.0000	25.2225
1156.0000	25.2213
1155.0000	25.0782
1154.0000	25.0413
1153.0000	24.993
1152.0000	24.8969
1151.0000	24.9242
1150.0000	24.9895
1149.0000	24.8351
1148.0000	25.0023
1147.0000	25.0158
1146.0000	24.8703
1145.0000	24.9056
1144.0000	24.825
1143.0000	24.5272
1142.0000	24.6197
1141.0000	24.5117
1140.0000	24.4385
1139.0000	24.4605
1138.0000	24.3449
1137.0000	24.4667
1136.0000	24.5507
1135.0000	24.5352
1134.0000	24.4574
1133.0000	24.5168
1132.0000	24.4169
1131.0000	24.4039
1130.0000	24.3753
1129.0000	24.0001
1128.0000	24.0017
1127.0000	23.9594
1126.0000	23.8326
1125.0000	23.7952
1124.0000	23.5983
1123.0000	23.8123
1122.0000	24.0209
1121.0000	23.8992
1120.0000	23.9608
1119.0000	23.7557
1118.0000	23.9417
1117.0000	23.6063
1116.0000	23.4095
1115.0000	23.3929
1114.0000	23.4955
1113.0000	23.4024
1112.0000	23.3371
1111.0000	23.3866
1110.0000	23.4525
1109.0000	23.2244
1108.0000	23.1616
1107.0000	23.2315
1106.0000	23.123
1105.0000	23.0511
1104.0000	22.8927
1103.0000	22.9441
1102.0000	23.0686
1101.0000	23.021
1100.0000	22.795
1099.0000	22.713
1098.0000	22.8053
1097.0000	22.8178
1096.0000	22.7727
1095.0000	22.5457
1094.0000	22.5736
1093.0000	22.461
1092.0000	22.4018
1091.0000	22.2766
1090.0000	22.0419
1089.0000	21.7894
1088.0000	21.5763
1087.0000	21.5314
1086.0000	21.4874
1085.0000	21.5794
1084.0000	21.4825
1083.0000	21.4752
1082.0000	21.5904
1081.0000	21.5671
1080.0000	21.6888
1079.0000	21.5884
1078.0000	21.5601
1077.0000	21.4886
1076.0000	21.2246
1075.0000	21.019
1074.0000	20.7466
1073.0000	20.6211
1072.0000	20.2547
1071.0000	19.9209
1070.0000	19.9866
1069.0000	19.8198
1068.0000	19.6558
1067.0000	19.3988
1066.0000	19.3471
1065.0000	19.3189
1064.0000	19.0369
1063.0000	18.8971
1062.0000	18.5691
1061.0000	18.3797
1060.0000	17.9844
